Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Spd of Max Gust (km/h),Station Name,Station ID
2002-01-01,-2.9,-5.4,-4.2,,,,,63.0,Grates Cove,10818
2002-01-02,-2.8,-6.0,-4.4,,,,,,Grates Cove,10818
2002-01-03,-2.1,-4.9,-3.5,,,,,63.0,Grates Cove,10818
2002-01-04,-4.5,-8.4,-6.5,,,,,,Grates Cove,10818
2002-01-07,6.1,,,,,,,,Grates Cove,10818
2002-01-08,-1.2,-4.9,-3.1,,,,,74.0,Grates Cove,10818
2002-01-09,-1.1,-10.8,-6.0,,,,,70.0,Grates Cove,10818
2002-01-10,0.1,-1.9,-0.9,,,,,37.0,Grates Cove,10818
2002-01-11,-1.2,-4.6,-2.9,,,,,56.0,Grates Cove,10818
2002-01-12,-2.8,-4.9,-3.9,,,,,67.0,Grates Cove,10818
2002-01-13,-0.8,-9.5,-5.2,,,,,80.0,Grates Cove,10818
2002-01-14,2.4,-7.4,-2.5,,,,,102.0,Grates Cove,10818
2002-01-15,,-17.5,,,,,,,Grates Cove,10818
2002-01-17,-5.7,-16.5,-11.1,,,,,83.0,Grates Cove,10818
2002-01-18,-5.5,-17.3,-11.4,,,,,,Grates Cove,10818
2002-01-19,-4.9,-11.5,-8.2,,,,,59.0,Grates Cove,10818
2002-01-20,,-11.8,,,,,,,Grates Cove,10818
2002-01-21,-7.2,-17.4,-12.3,,,,,126.0,Grates Cove,10818
2002-01-22,-2.3,-8.9,-5.6,,,,,132.0,Grates Cove,10818
2002-01-23,,-10.4,,,,,,,Grates Cove,10818
2002-01-24,-13.2,,,,,,,,Grates Cove,10818
2002-01-25,,-19.4,,,,,,,Grates Cove,10818
2002-02-15,0.8,-11.6,-5.4,,,,,83.0,Grates Cove,10818
2002-02-16,4.5,0.7,2.6,,,,,96.0,Grates Cove,10818
2002-02-17,4.9,-2.3,1.3,,,,,93.0,Grates Cove,10818
2002-02-18,-2.1,-4.1,-3.1,,,,,80.0,Grates Cove,10818
2002-02-19,1.2,-2.2,-0.5,,,,,61.0,Grates Cove,10818
2002-02-20,-0.1,-3.6,-1.9,,,,,54.0,Grates Cove,10818
2002-02-21,-1.4,-3.9,-2.7,,,,,43.0,Grates Cove,10818
2002-02-22,3.0,-1.9,0.6,,,,,50.0,Grates Cove,10818
2002-02-23,2.5,-1.8,0.4,,,,,69.0,Grates Cove,10818
2002-02-24,-1.6,-7.5,-4.6,,,,,59.0,Grates Cove,10818
2002-02-25,-4.3,-8.0,-6.2,,,,,46.0,Grates Cove,10818
2002-02-26,-0.9,-6.9,-3.9,,,,,41.0,Grates Cove,10818
2002-02-27,2.7,-3.1,-0.2,,,,,78.0,Grates Cove,10818
2002-02-28,6.2,0.1,3.2,,,,,89.0,Grates Cove,10818
