Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Spd of Max Gust (km/h),Dir of Max Gust (10s deg),Station Name,Station ID
1966-02-05,1.1,-5.6,-2.3,0.0,0.0,0.0,5.0,,,St. Lawrence,6723
1966-02-06,1.7,-2.2,-0.3,0.0,0.0,0.0,5.0,,,St. Lawrence,6723
1966-02-07,-0.6,-3.9,-2.3,0.0,0.0,0.0,5.0,,,St. Lawrence,6723
1966-02-08,2.8,-3.3,-0.3,0.0,0.0,0.0,5.0,,,St. Lawrence,6723
1966-02-09,-1.7,-11.1,-6.4,0.0,1.3,1.3,5.0,,,St. Lawrence,6723
1966-02-10,0.0,-11.1,-5.6,0.0,1.8,1.8,8.0,,,St. Lawrence,6723
1966-02-11,2.8,0.0,1.4,0.5,0.0,0.5,10.0,,,St. Lawrence,6723
1966-02-12,3.3,-1.7,0.8,0.0,0.0,0.0,8.0,,,St. Lawrence,6723
1966-02-13,-0.6,-5.0,-2.8,0.0,0.0,0.0,8.0,,,St. Lawrence,6723
1966-02-14,4.4,-2.8,0.8,11.4,0.0,11.4,8.0,,,St. Lawrence,6723
1966-02-15,0.0,-7.2,-3.6,0.0,0.0,0.0,5.0,,,St. Lawrence,6723
1966-02-16,-2.2,-7.8,-5.0,0.0,0.0,0.0,5.0,,,St. Lawrence,6723
1966-02-17,-2.2,-7.8,-5.0,0.0,1.0,1.0,5.0,,,St. Lawrence,6723
1966-02-18,-5.0,-12.8,-8.9,0.0,0.8,0.8,8.0,,,St. Lawrence,6723
1966-02-19,-11.1,-13.3,-12.2,0.0,2.3,2.3,8.0,,,St. Lawrence,6723
1966-02-20,-7.2,-12.2,-9.7,0.0,0.5,0.5,10.0,,,St. Lawrence,6723
1966-02-21,-7.8,-14.4,-11.1,0.0,0.0,0.0,10.0,,,St. Lawrence,6723
1966-02-22,-8.9,-13.9,-11.4,0.0,0.0,0.0,10.0,,,St. Lawrence,6723
1966-02-23,0.0,-11.7,-5.9,0.0,0.0,0.0,10.0,,,St. Lawrence,6723
1966-02-24,-2.2,-11.1,-6.7,0.0,0.0,0.0,10.0,,,St. Lawrence,6723
1966-02-25,0.0,-11.7,-5.9,0.0,0.0,0.0,10.0,,,St. Lawrence,6723
1966-02-26,1.1,-3.3,-1.1,0.0,8.1,8.1,10.0,,,St. Lawrence,6723
1966-02-27,-1.1,-7.2,-4.2,0.0,1.0,1.0,15.0,,,St. Lawrence,6723
1966-02-28,0.6,-6.1,-2.8,0.0,0.0,0.0,15.0,,,St. Lawrence,6723
1966-03-01,2.2,-3.9,-0.9,12.2,0.0,12.2,15.0,,,St. Lawrence,6723
1966-03-02,3.9,-0.6,1.7,1.0,1.3,2.0,8.0,,,St. Lawrence,6723
1966-03-03,1.7,-0.6,0.6,0.0,0.0,0.0,8.0,,,St. Lawrence,6723
1966-03-04,2.2,-2.2,0.0,0.0,0.0,0.0,8.0,,,St. Lawrence,6723
1966-03-05,1.1,-2.8,-0.9,0.0,0.5,0.5,8.0,,,St. Lawrence,6723
1966-03-06,3.9,-1.1,1.4,29.7,0.3,32.0,10.0,,,St. Lawrence,6723
1966-03-07,5.0,-0.6,2.2,24.1,0.0,24.1,5.0,,,St. Lawrence,6723
1966-03-08,2.2,-2.8,-0.3,0.0,0.0,0.0,5.0,,,St. Lawrence,6723
1966-03-09,1.7,-4.4,-1.4,0.0,0.0,0.0,5.0,,,St. Lawrence,6723
1966-03-10,-1.7,-4.4,-3.1,0.0,4.8,4.6,8.0,,,St. Lawrence,6723
1966-03-11,1.7,-3.9,-1.1,0.0,2.0,2.5,10.0,,,St. Lawrence,6723
1966-03-12,-2.8,-12.8,-7.8,0.0,0.3,0.5,13.0,,,St. Lawrence,6723
1966-03-13,-2.2,-14.4,-8.3,0.0,0.0,0.0,13.0,,,St. Lawrence,6723
1966-03-14,1.1,-11.1,-5.0,0.0,0.0,0.0,13.0,,,St. Lawrence,6723
1966-03-15,0.0,-8.9,-4.5,0.0,5.3,5.1,10.0,,,St. Lawrence,6723
1966-03-16,-0.6,-8.3,-4.5,0.0,14.0,18.0,23.0,,,St. Lawrence,6723
1966-03-17,0.6,-10.0,-4.7,0.0,0.0,0.0,25.0,,,St. Lawrence,6723
1966-03-18,0.0,-7.8,-3.9,0.0,0.0,0.0,25.0,,,St. Lawrence,6723
1966-03-19,0.6,-6.7,-3.1,0.0,0.0,0.0,25.0,,,St. Lawrence,6723
1966-03-20,1.7,-1.7,0.0,0.0,0.0,0.0,23.0,,,St. Lawrence,6723
1966-03-21,6.1,-3.3,1.4,0.0,0.0,0.0,18.0,,,St. Lawrence,6723
1966-03-22,5.0,1.7,3.4,3.0,0.0,3.0,13.0,,,St. Lawrence,6723
1966-03-23,7.8,1.7,4.8,0.0,0.0,0.0,10.0,,,St. Lawrence,6723
1966-03-24,8.3,-0.6,3.9,0.0,0.0,0.0,8.0,,,St. Lawrence,6723
1966-03-25,1.1,-2.8,-0.9,0.0,0.0,0.0,5.0,,,St. Lawrence,6723
